year,month,country,category,final_action_date,filing_date
2018,9,Rest-of-World,F1,2011-04-08,2012-03-08
2018,9,Rest-of-World,F2A,2016-07-22,2017-12-01
2018,9,Rest-of-World,F2B,2011-11-01,2014-03-22
2018,9,Rest-of-World,F3,2006-05-01,2006-09-22
2018,9,Rest-of-World,F4,2005-01-08,2005-05-01
2018,9,Rest-of-World,EB1,2016-06-01,2018-09-01
2018,9,Rest-of-World,EB2,2013-01-01,2018-09-01
2018,9,Rest-of-World,EB3,2016-11-01,2018-09-01
2018,9,Rest-of-World,EB-Other,2016-11-01,2018-09-01
2018,9,Rest-of-World,EB4,2018-09-01,2018-09-01
2018,9,Rest-of-World,EB-Religious,2018-09-01,2018-09-01
2018,9,Rest-of-World,EB5-Non-Regional-Center,2018-09-01,2018-09-01
2018,9,Rest-of-World,EB5-Regional-Center,2018-09-01,2018-09-01
2018,9,China,F1,2011-04-08,2012-03-08
2018,9,China,F2A,2016-07-22,2017-12-01
2018,9,China,F2B,2011-11-01,2014-03-22
2018,9,China,F3,2006-05-01,2006-09-22
2018,9,China,F4,2005-01-08,2005-05-01
2018,9,China,EB1,2012-01-01,2018-09-01
2018,9,China,EB2,2013-01-01,2015-04-01
2018,9,China,EB3,2014-11-01,2016-01-01
2018,9,China,EB-Other,2007-05-01,2008-06-01
2018,9,China,EB4,2018-09-01,2018-09-01
2018,9,China,EB-Religious,2018-09-01,2018-09-01
2018,9,China,EB5-Non-Regional-Center,2014-08-08,2014-10-01
2018,9,China,EB5-Regional-Center,2014-08-08,2014-10-01
2018,9,India,F1,2011-04-08,2012-03-08
2018,9,India,F2A,2016-07-22,2017-12-01
2018,9,India,F2B,2011-11-01,2014-03-22
2018,9,India,F3,2006-05-01,2006-09-22
2018,9,India,F4,2004-04-08,2005-01-01
2018,9,India,EB1,2012-01-01,2018-09-01
2018,9,India,EB2,2007-01-01,2009-05-22
2018,9,India,EB3,2003-01-01,2009-05-01
2018,9,India,EB-Other,2003-01-01,2009-05-01
2018,9,India,EB4,2016-02-15,2018-09-01
2018,9,India,EB-Religious,2016-02-15,2018-09-01
2018,9,India,EB5-Non-Regional-Center,2018-09-01,2018-09-01
2018,9,India,EB5-Regional-Center,2018-09-01,2018-09-01
2018,9,Mexico,F1,1997-08-01,1998-09-01
2018,9,Mexico,F2A,2016-07-01,2017-12-01
2018,9,Mexico,F2B,1997-04-22,1997-06-08
2018,9,Mexico,F3,1995-12-22,1998-10-08
2018,9,Mexico,F4,1998-01-15,1998-06-01
2018,9,Mexico,EB1,2016-06-01,2018-09-01
2018,9,Mexico,EB2,2013-01-01,2018-09-01
2018,9,Mexico,EB3,2016-11-01,2018-09-01
2018,9,Mexico,EB-Other,2016-11-01,2018-09-01
2018,9,Mexico,EB4,2016-02-15,2018-09-01
2018,9,Mexico,EB-Religious,2016-02-15,2018-09-01
2018,9,Mexico,EB5-Non-Regional-Center,2018-09-01,2018-09-01
2018,9,Mexico,EB5-Regional-Center,2018-09-01,2018-09-01
2018,9,Philippines,F1,2006-11-15,2008-02-15
2018,9,Philippines,F2A,2016-07-22,2017-12-01
2018,9,Philippines,F2B,2007-04-22,2007-12-15
2018,9,Philippines,F3,1995-06-01,1995-08-01
2018,9,Philippines,F4,1995-06-01,1995-12-01
2018,9,Philippines,EB1,2016-06-01,2018-09-01
2018,9,Philippines,EB2,2013-01-01,2018-09-01
2018,9,Philippines,EB3,2016-11-01,2017-07-01
2018,9,Philippines,EB-Other,2016-11-01,2017-07-01
2018,9,Philippines,EB4,2018-09-01,2018-09-01
2018,9,Philippines,EB-Religious,2018-09-01,2018-09-01
2018,9,Philippines,EB5-Non-Regional-Center,2018-09-01,2018-09-01
2018,9,Philippines,EB5-Regional-Center,2018-09-01,2018-09-01
2018,9,El Salvador/Guatemala/Honduras,EB1,2016-06-01,2018-09-01
2018,9,El Salvador/Guatemala/Honduras,EB2,2013-01-01,2018-09-01
2018,9,El Salvador/Guatemala/Honduras,EB3,2016-11-01,2018-09-01
2018,9,El Salvador/Guatemala/Honduras,EB-Other,2016-11-01,2018-09-01
2018,9,El Salvador/Guatemala/Honduras,EB4,2016-02-15,2016-05-01
2018,9,El Salvador/Guatemala/Honduras,EB-Religious,2016-02-15,2016-05-01
2018,9,El Salvador/Guatemala/Honduras,EB5-Non-Regional-Center,2018-09-01,2018-09-01
2018,9,El Salvador/Guatemala/Honduras,EB5-Regional-Center,2018-09-01,2018-09-01
2018,9,Vietnam,EB1,2016-06-01,
2018,9,Vietnam,EB2,2013-01-01,
2018,9,Vietnam,EB3,2016-11-01,
2018,9,Vietnam,EB-Other,2016-11-01,
2018,9,Vietnam,EB4,2018-09-01,
2018,9,Vietnam,EB-Religious,2018-09-01,
2018,9,Vietnam,EB5-Non-Regional-Center,2014-08-08,
2018,9,Vietnam,EB5-Regional-Center,2014-08-08,
