year,month,country,category,final_action_date,filing_date
2023,1,Rest-of-World,F1,2014-12-01,2016-08-08
2023,1,Rest-of-World,F2A,2023-01-01,2023-01-01
2023,1,Rest-of-World,F2B,2015-09-22,2017-01-01
2023,1,Rest-of-World,F3,2008-11-22,2009-11-08
2023,1,Rest-of-World,F4,2007-03-22,2007-12-15
2023,1,Rest-of-World,EB1,2023-01-01,2023-01-01
2023,1,Rest-of-World,EB2,2022-11-01,2022-12-01
2023,1,Rest-of-World,EB3,2023-01-01,2023-01-01
2023,1,Rest-of-World,EB-Other,2020-06-01,2022-09-08
2023,1,Rest-of-World,EB4,2022-06-22,2022-07-22
2023,1,Rest-of-World,EB-Religious,,2022-07-22
2023,1,Rest-of-World,EB5-Unreserved,2023-01-01,2023-01-01
2023,1,Rest-of-World,EB5-Rural,2023-01-01,2023-01-01
2023,1,Rest-of-World,EB5-High-Unemployment,2023-01-01,2023-01-01
2023,1,Rest-of-World,EB5-Infrastructure,2023-01-01,2023-01-01
2023,1,China,F1,2014-12-01,2016-08-08
2023,1,China,F2A,2023-01-01,2023-01-01
2023,1,China,F2B,2015-09-22,2017-01-01
2023,1,China,F3,2008-11-22,2009-11-08
2023,1,China,F4,2007-03-22,2007-12-15
2023,1,China,EB1,2022-02-01,2022-06-01
2023,1,China,EB2,2019-06-08,2019-07-08
2023,1,China,EB3,2018-08-01,2018-09-01
2023,1,China,EB-Other,2013-12-22,2015-11-01
2023,1,China,EB4,2022-06-22,2022-07-22
2023,1,China,EB-Religious,,2022-07-22
2023,1,China,EB5-Unreserved,2015-03-22,2016-01-01
2023,1,China,EB5-Rural,2023-01-01,2023-01-01
2023,1,China,EB5-High-Unemployment,2023-01-01,2023-01-01
2023,1,China,EB5-Infrastructure,2023-01-01,2023-01-01
2023,1,India,F1,2014-12-01,2016-08-08
2023,1,India,F2A,2023-01-01,2023-01-01
2023,1,India,F2B,2015-09-22,2017-01-01
2023,1,India,F3,2008-11-22,2009-11-08
2023,1,India,F4,2005-09-15,2006-02-22
2023,1,India,EB1,2022-02-01,2022-06-01
2023,1,India,EB2,2011-10-08,2012-05-01
2023,1,India,EB3,2012-06-15,2012-08-01
2023,1,India,EB-Other,2012-06-15,2012-08-01
2023,1,India,EB4,2022-06-22,2022-07-22
2023,1,India,EB-Religious,,2022-07-22
2023,1,India,EB5-Unreserved,2019-11-08,2019-12-08
2023,1,India,EB5-Rural,2023-01-01,2023-01-01
2023,1,India,EB5-High-Unemployment,2023-01-01,2023-01-01
2023,1,India,EB5-Infrastructure,2023-01-01,2023-01-01
2023,1,Mexico,F1,2000-11-15,2002-12-01
2023,1,Mexico,F2A,2023-01-01,2023-01-01
2023,1,Mexico,F2B,2001-06-01,2002-01-01
2023,1,Mexico,F3,1997-11-01,2001-06-15
2023,1,Mexico,F4,2000-08-01,2001-04-01
2023,1,Mexico,EB1,2023-01-01,2023-01-01
2023,1,Mexico,EB2,2022-11-01,2022-12-01
2023,1,Mexico,EB3,2023-01-01,2023-01-01
2023,1,Mexico,EB-Other,2020-06-01,2022-09-08
2023,1,Mexico,EB4,2020-09-15,2020-10-15
2023,1,Mexico,EB-Religious,,2020-10-15
2023,1,Mexico,EB5-Unreserved,2023-01-01,2023-01-01
2023,1,Mexico,EB5-Rural,2023-01-01,2023-01-01
2023,1,Mexico,EB5-High-Unemployment,2023-01-01,2023-01-01
2023,1,Mexico,EB5-Infrastructure,2023-01-01,2023-01-01
2023,1,Philippines,F1,2012-03-01,2015-04-22
2023,1,Philippines,F2A,2023-01-01,2023-01-01
2023,1,Philippines,F2B,2011-10-22,2013-10-01
2023,1,Philippines,F3,2002-06-08,2003-11-08
2023,1,Philippines,F4,2002-08-22,2004-04-22
2023,1,Philippines,EB1,2023-01-01,2023-01-01
2023,1,Philippines,EB2,2022-11-01,2022-12-01
2023,1,Philippines,EB3,2023-01-01,2023-01-01
2023,1,Philippines,EB-Other,2020-06-01,2022-09-08
2023,1,Philippines,EB4,2022-06-22,2022-07-22
2023,1,Philippines,EB-Religious,,2022-07-22
2023,1,Philippines,EB5-Unreserved,2023-01-01,2023-01-01
2023,1,Philippines,EB5-Rural,2023-01-01,2023-01-01
2023,1,Philippines,EB5-High-Unemployment,2023-01-01,2023-01-01
2023,1,Philippines,EB5-Infrastructure,2023-01-01,2023-01-01
2023,1,El Salvador/Guatemala/Honduras,EB1,2023-01-01,2023-01-01
2023,1,El Salvador/Guatemala/Honduras,EB2,2022-11-01,2022-12-01
2023,1,El Salvador/Guatemala/Honduras,EB3,2023-01-01,2023-01-01
2023,1,El Salvador/Guatemala/Honduras,EB-Other,2020-06-01,2022-09-08
2023,1,El Salvador/Guatemala/Honduras,EB4,2018-03-15,2018-04-15
2023,1,El Salvador/Guatemala/Honduras,EB-Religious,,2018-04-15
2023,1,El Salvador/Guatemala/Honduras,EB5-Unreserved,2023-01-01,2023-01-01
2023,1,El Salvador/Guatemala/Honduras,EB5-Rural,2023-01-01,2023-01-01
2023,1,El Salvador/Guatemala/Honduras,EB5-High-Unemployment,2023-01-01,2023-01-01
2023,1,El Salvador/Guatemala/Honduras,EB5-Infrastructure,2023-01-01,2023-01-01
