year,month,country,category,final_action_date,filing_date
2015,10,Rest-of-World,F1,2008-01-15,2009-05-01
2015,10,Rest-of-World,F2A,2014-04-15,2015-03-01
2015,10,Rest-of-World,F2B,2009-01-15,2010-07-01
2015,10,Rest-of-World,F3,2004-05-22,2005-04-01
2015,10,Rest-of-World,F4,2003-02-08,2004-02-01
2015,10,Rest-of-World,EB1,,2015-10-01
2015,10,Rest-of-World,EB2,,2015-10-01
2015,10,Rest-of-World,EB3,,2015-09-01
2015,10,Rest-of-World,EB-Other,,2015-09-01
2015,10,Rest-of-World,EB4,,2015-10-01
2015,10,Rest-of-World,EB-Religious,,2015-10-01
2015,10,Rest-of-World,EB5-Non-Regional-Center,,2015-10-01
2015,10,Rest-of-World,EB5-Regional-Center,,
2015,10,Rest-of-World,EB5-Targeted-Employment,,2015-10-01
2015,10,China,F1,2008-01-15,2009-05-01
2015,10,China,F2A,2014-04-15,2015-03-01
2015,10,China,F2B,2009-01-15,2010-07-01
2015,10,China,F3,2004-05-22,2005-04-01
2015,10,China,F4,2003-02-08,2004-02-01
2015,10,China,EB1,,2015-10-01
2015,10,China,EB2,,2013-01-01
2015,10,China,EB3,,2013-10-01
2015,10,China,EB-Other,,2007-01-01
2015,10,China,EB4,,2015-10-01
2015,10,China,EB-Religious,,2015-10-01
2015,10,China,EB5-Non-Regional-Center,,2013-10-08
2015,10,China,EB5-Regional-Center,,
2015,10,China,EB5-Targeted-Employment,,2015-05-01
2015,10,India,F1,2008-01-15,2009-05-01
2015,10,India,F2A,2014-04-15,2015-03-01
2015,10,India,F2B,2009-01-15,2010-07-01
2015,10,India,F3,2004-05-22,2005-04-01
2015,10,India,F4,2003-02-08,2004-02-01
2015,10,India,EB1,,2015-10-01
2015,10,India,EB2,,2009-07-01
2015,10,India,EB3,,2005-07-01
2015,10,India,EB-Other,,2005-07-01
2015,10,India,EB4,,2015-10-01
2015,10,India,EB-Religious,,2015-10-01
2015,10,India,EB5-Non-Regional-Center,,2015-10-01
2015,10,India,EB5-Regional-Center,,
2015,10,India,EB5-Targeted-Employment,,2015-10-01
2015,10,Mexico,F1,1994-11-22,1995-04-01
2015,10,Mexico,F2A,2014-03-01,2015-03-01
2015,10,Mexico,F2B,1995-08-01,1996-01-01
2015,10,Mexico,F3,1994-06-08,1995-05-01
2015,10,Mexico,F4,1997-03-22,1998-05-01
2015,10,Mexico,EB1,,2015-10-01
2015,10,Mexico,EB2,,2015-10-01
2015,10,Mexico,EB3,,2015-09-01
2015,10,Mexico,EB-Other,,2015-09-01
2015,10,Mexico,EB4,,2015-10-01
2015,10,Mexico,EB-Religious,,2015-10-01
2015,10,Mexico,EB5-Non-Regional-Center,,2015-10-01
2015,10,Mexico,EB5-Regional-Center,,
2015,10,Mexico,EB5-Targeted-Employment,,2015-10-01
2015,10,Philippines,F1,2001-06-01,2005-09-01
2015,10,Philippines,F2A,2014-04-15,2015-03-01
2015,10,Philippines,F2B,2004-10-01,2005-01-01
2015,10,Philippines,F3,1993-10-01,1995-08-01
2015,10,Philippines,F4,1992-05-01,1993-01-01
2015,10,Philippines,EB1,,2015-10-01
2015,10,Philippines,EB2,,2015-10-01
2015,10,Philippines,EB3,,2010-01-01
2015,10,Philippines,EB-Other,,2010-01-01
2015,10,Philippines,EB4,,2015-10-01
2015,10,Philippines,EB-Religious,,2015-10-01
2015,10,Philippines,EB5-Non-Regional-Center,,2015-10-01
2015,10,Philippines,EB5-Regional-Center,,
2015,10,Philippines,EB5-Targeted-Employment,,2015-10-01
