year,month,country,category,final_action_date,filing_date
2019,12,Rest-of-World,F1,2013-05-15,2013-11-15
2019,12,Rest-of-World,F2A,2019-12-01,2019-10-01
2019,12,Rest-of-World,F2B,2014-08-08,2015-02-08
2019,12,Rest-of-World,F3,2007-11-08,2008-05-15
2019,12,Rest-of-World,F4,2007-02-01,2007-07-22
2019,12,Rest-of-World,EB1,2018-07-15,2019-12-01
2019,12,Rest-of-World,EB2,2019-12-01,2019-12-01
2019,12,Rest-of-World,EB3,2019-12-01,2019-12-01
2019,12,Rest-of-World,EB-Other,2019-12-01,2019-12-01
2019,12,Rest-of-World,EB4,2019-12-01,2019-12-01
2019,12,Rest-of-World,EB-Religious,,2019-12-01
2019,12,Rest-of-World,EB5-Non-Regional-Center,2019-12-01,2019-12-01
2019,12,Rest-of-World,EB5-Regional-Center,,2019-12-01
2019,12,China,F1,2013-05-15,2013-11-15
2019,12,China,F2A,2019-12-01,2019-10-01
2019,12,China,F2B,2014-08-08,2015-02-08
2019,12,China,F3,2007-11-08,2008-05-15
2019,12,China,F4,2007-02-01,2007-07-22
2019,12,China,EB1,2017-05-15,2017-09-01
2019,12,China,EB2,2015-06-22,2016-08-01
2019,12,China,EB3,2015-11-01,2017-03-01
2019,12,China,EB-Other,2008-03-01,2008-08-01
2019,12,China,EB4,2019-12-01,2019-12-01
2019,12,China,EB-Religious,,2019-12-01
2019,12,China,EB5-Non-Regional-Center,2014-11-15,2015-05-15
2019,12,China,EB5-Regional-Center,,2015-05-15
2019,12,India,F1,2013-05-15,2013-11-15
2019,12,India,F2A,2019-12-01,2019-10-01
2019,12,India,F2B,2014-08-08,2015-02-08
2019,12,India,F3,2007-11-08,2008-05-15
2019,12,India,F4,2004-11-01,2005-07-01
2019,12,India,EB1,2015-01-01,2017-03-15
2019,12,India,EB2,2009-05-15,2009-07-01
2019,12,India,EB3,2009-01-01,2010-02-01
2019,12,India,EB-Other,2009-01-01,2010-02-01
2019,12,India,EB4,2019-12-01,2019-12-01
2019,12,India,EB-Religious,,2019-12-01
2019,12,India,EB5-Non-Regional-Center,2018-01-01,2019-12-01
2019,12,India,EB5-Regional-Center,,2019-12-01
2019,12,Mexico,F1,1997-08-08,1999-11-15
2019,12,Mexico,F2A,2019-12-01,2019-10-01
2019,12,Mexico,F2B,1998-08-22,1999-04-22
2019,12,Mexico,F3,1996-02-22,2000-07-15
2019,12,Mexico,F4,1997-12-15,1999-01-01
2019,12,Mexico,EB1,2018-07-15,2019-12-01
2019,12,Mexico,EB2,2019-12-01,2019-12-01
2019,12,Mexico,EB3,2019-12-01,2019-12-01
2019,12,Mexico,EB-Other,2019-12-01,2019-12-01
2019,12,Mexico,EB4,2017-07-22,2019-12-01
2019,12,Mexico,EB-Religious,,2019-12-01
2019,12,Mexico,EB5-Non-Regional-Center,2019-12-01,2019-12-01
2019,12,Mexico,EB5-Regional-Center,,2019-12-01
2019,12,Philippines,F1,2008-11-01,2009-05-01
2019,12,Philippines,F2A,2019-12-01,2019-10-01
2019,12,Philippines,F2B,2008-12-01,2009-06-01
2019,12,Philippines,F3,1998-09-01,1999-03-01
2019,12,Philippines,F4,1998-12-15,1999-06-15
2019,12,Philippines,EB1,2018-07-15,2019-12-01
2019,12,Philippines,EB2,2019-12-01,2019-12-01
2019,12,Philippines,EB3,2018-03-01,2019-12-01
2019,12,Philippines,EB-Other,2018-03-01,2019-12-01
2019,12,Philippines,EB4,2019-12-01,2019-12-01
2019,12,Philippines,EB-Religious,,2019-12-01
2019,12,Philippines,EB5-Non-Regional-Center,2019-12-01,2019-12-01
2019,12,Philippines,EB5-Regional-Center,,2019-12-01
2019,12,El Salvador/Guatemala/Honduras,EB1,2018-07-15,2019-12-01
2019,12,El Salvador/Guatemala/Honduras,EB2,2019-12-01,2019-12-01
2019,12,El Salvador/Guatemala/Honduras,EB3,2019-12-01,2019-12-01
2019,12,El Salvador/Guatemala/Honduras,EB-Other,2019-12-01,2019-12-01
2019,12,El Salvador/Guatemala/Honduras,EB4,2016-07-01,2016-08-15
2019,12,El Salvador/Guatemala/Honduras,EB-Religious,,2016-08-15
2019,12,El Salvador/Guatemala/Honduras,EB5-Non-Regional-Center,2019-12-01,2019-12-01
2019,12,El Salvador/Guatemala/Honduras,EB5-Regional-Center,,2019-12-01
2019,12,Vietnam,EB1,2018-07-15,
2019,12,Vietnam,EB2,2019-12-01,
2019,12,Vietnam,EB3,2019-12-01,
2019,12,Vietnam,EB-Other,2019-12-01,
2019,12,Vietnam,EB4,2019-12-01,
2019,12,Vietnam,EB-Religious,,
2019,12,Vietnam,EB5-Non-Regional-Center,2016-12-01,
2019,12,Vietnam,EB5-Regional-Center,,
