year,month,country,category,final_action_date,filing_date
2019,8,Rest-of-World,F1,2012-07-01,2013-03-01
2019,8,Rest-of-World,F2A,2019-08-01,2019-06-01
2019,8,Rest-of-World,F2B,2014-01-01,2014-09-01
2019,8,Rest-of-World,F3,2007-06-22,2007-12-22
2019,8,Rest-of-World,F4,2006-10-01,2006-12-15
2019,8,Rest-of-World,EB1,2016-07-01,2018-09-01
2019,8,Rest-of-World,EB2,2017-01-01,2019-08-01
2019,8,Rest-of-World,EB3,2016-07-01,2019-08-01
2019,8,Rest-of-World,EB-Other,2016-07-01,2019-08-01
2019,8,Rest-of-World,EB4,2019-08-01,2019-08-01
2019,8,Rest-of-World,EB-Religious,2019-08-01,2019-08-01
2019,8,Rest-of-World,EB5-Non-Regional-Center,2019-08-01,2019-08-01
2019,8,Rest-of-World,EB5-Regional-Center,2019-08-01,2019-08-01
2019,8,China,F1,2012-07-01,2013-03-01
2019,8,China,F2A,2019-08-01,2019-06-01
2019,8,China,F2B,2014-01-01,2014-09-01
2019,8,China,F3,2007-06-22,2007-12-22
2019,8,China,F4,2006-10-01,2006-12-15
2019,8,China,EB1,2016-07-01,2017-10-01
2019,8,China,EB2,2017-01-01,2017-02-01
2019,8,China,EB3,2016-07-01,2016-06-01
2019,8,China,EB-Other,2007-11-22,2008-06-01
2019,8,China,EB4,2019-08-01,2019-08-01
2019,8,China,EB-Religious,2019-08-01,2019-08-01
2019,8,China,EB5-Non-Regional-Center,2014-10-15,2014-11-15
2019,8,China,EB5-Regional-Center,2014-10-15,2014-11-15
2019,8,India,F1,2012-07-01,2013-03-01
2019,8,India,F2A,2019-08-01,2019-06-01
2019,8,India,F2B,2014-01-01,2014-09-01
2019,8,India,F3,2007-06-22,2007-12-22
2019,8,India,F4,2004-09-15,2005-05-15
2019,8,India,EB1,2015-01-01,2017-10-01
2019,8,India,EB2,2009-05-02,2009-06-01
2019,8,India,EB3,2006-01-01,2010-04-01
2019,8,India,EB-Other,2006-01-01,2010-04-01
2019,8,India,EB4,2019-08-01,2019-08-01
2019,8,India,EB-Religious,2019-08-01,2019-08-01
2019,8,India,EB5-Non-Regional-Center,2014-10-15,2019-08-01
2019,8,India,EB5-Regional-Center,2014-10-15,2019-08-01
2019,8,Mexico,F1,1996-08-01,1999-11-01
2019,8,Mexico,F2A,2019-08-01,2019-06-01
2019,8,Mexico,F2B,1998-06-01,1999-02-01
2019,8,Mexico,F3,1995-12-01,2000-07-15
2019,8,Mexico,F4,1997-01-01,1998-12-15
2019,8,Mexico,EB1,2016-07-01,2018-09-01
2019,8,Mexico,EB2,2017-01-01,2019-08-01
2019,8,Mexico,EB3,2016-07-01,2019-08-01
2019,8,Mexico,EB-Other,2016-07-01,2019-08-01
2019,8,Mexico,EB4,2016-07-01,2019-08-01
2019,8,Mexico,EB-Religious,2016-07-01,2019-08-01
2019,8,Mexico,EB5-Non-Regional-Center,2019-08-01,2019-08-01
2019,8,Mexico,EB5-Regional-Center,2019-08-01,2019-08-01
2019,8,Philippines,F1,2008-02-22,2008-08-22
2019,8,Philippines,F2A,2019-08-01,2019-06-01
2019,8,Philippines,F2B,2008-04-01,2008-11-01
2019,8,Philippines,F3,1997-10-01,1998-04-01
2019,8,Philippines,F4,1998-05-01,1998-11-01
2019,8,Philippines,EB1,2016-07-01,2018-09-01
2019,8,Philippines,EB2,2017-01-01,2019-08-01
2019,8,Philippines,EB3,2016-07-01,2019-08-01
2019,8,Philippines,EB-Other,2016-07-01,2019-08-01
2019,8,Philippines,EB4,2019-08-01,2019-08-01
2019,8,Philippines,EB-Religious,2019-08-01,2019-08-01
2019,8,Philippines,EB5-Non-Regional-Center,2019-08-01,2019-08-01
2019,8,Philippines,EB5-Regional-Center,2019-08-01,2019-08-01
2019,8,El Salvador/Guatemala/Honduras,EB1,2016-07-01,2018-09-01
2019,8,El Salvador/Guatemala/Honduras,EB2,2017-01-01,2019-08-01
2019,8,El Salvador/Guatemala/Honduras,EB3,2016-07-01,2019-08-01
2019,8,El Salvador/Guatemala/Honduras,EB-Other,2016-07-01,2019-08-01
2019,8,El Salvador/Guatemala/Honduras,EB4,2016-07-01,2016-09-01
2019,8,El Salvador/Guatemala/Honduras,EB-Religious,2016-07-01,2016-09-01
2019,8,El Salvador/Guatemala/Honduras,EB5-Non-Regional-Center,2019-08-01,2019-08-01
2019,8,El Salvador/Guatemala/Honduras,EB5-Regional-Center,2019-08-01,2019-08-01
2019,8,Vietnam,EB1,2016-07-01,
2019,8,Vietnam,EB2,2017-01-01,
2019,8,Vietnam,EB3,2016-07-01,
2019,8,Vietnam,EB-Other,2016-07-01,
2019,8,Vietnam,EB4,2019-08-01,
2019,8,Vietnam,EB-Religious,2019-08-01,
2019,8,Vietnam,EB5-Non-Regional-Center,2014-10-15,
2019,8,Vietnam,EB5-Regional-Center,2014-10-15,
