year,month,country,category,final_action_date,filing_date
2020,9,Rest-of-World,F1,2014-09-15,2015-07-22
2020,9,Rest-of-World,F2A,2020-09-01,2020-08-01
2020,9,Rest-of-World,F2B,2015-07-08,2016-05-01
2020,9,Rest-of-World,F3,2008-06-15,2009-06-01
2020,9,Rest-of-World,F4,2006-09-22,2007-09-15
2020,9,Rest-of-World,EB1,2020-09-01,2020-09-01
2020,9,Rest-of-World,EB2,2020-09-01,2020-09-01
2020,9,Rest-of-World,EB3,2019-04-01,2020-04-01
2020,9,Rest-of-World,EB-Other,2019-04-01,2020-04-01
2020,9,Rest-of-World,EB4,2020-09-01,2020-09-01
2020,9,Rest-of-World,EB-Religious,2020-09-01,2020-09-01
2020,9,Rest-of-World,EB5-Non-Regional-Center,2020-09-01,2020-09-01
2020,9,Rest-of-World,EB5-Regional-Center,2020-09-01,2020-09-01
2020,9,China,F1,2014-09-15,2015-07-22
2020,9,China,F2A,2020-09-01,2020-08-01
2020,9,China,F2B,2015-07-08,2016-05-01
2020,9,China,F3,2008-06-15,2009-06-01
2020,9,China,F4,2006-09-22,2007-09-15
2020,9,China,EB1,2018-03-01,2018-07-01
2020,9,China,EB2,2016-01-15,2016-08-01
2020,9,China,EB3,2017-02-15,2017-05-01
2020,9,China,EB-Other,2008-08-01,2008-10-01
2020,9,China,EB4,2020-09-01,2020-09-01
2020,9,China,EB-Religious,2020-09-01,2020-09-01
2020,9,China,EB5-Non-Regional-Center,2015-08-15,2015-12-15
2020,9,China,EB5-Regional-Center,2015-08-15,2015-12-15
2020,9,India,F1,2014-09-15,2015-07-22
2020,9,India,F2A,2020-09-01,2020-08-01
2020,9,India,F2B,2015-07-08,2016-05-01
2020,9,India,F3,2008-06-15,2009-06-01
2020,9,India,F4,2005-03-08,2005-11-22
2020,9,India,EB1,2018-03-01,2018-07-01
2020,9,India,EB2,2009-07-08,2009-08-15
2020,9,India,EB3,2009-10-01,2010-02-01
2020,9,India,EB-Other,2009-10-01,2010-02-01
2020,9,India,EB4,2020-09-01,2020-09-01
2020,9,India,EB-Religious,2020-09-01,2020-09-01
2020,9,India,EB5-Non-Regional-Center,2020-09-01,2020-09-01
2020,9,India,EB5-Regional-Center,2020-09-01,2020-09-01
2020,9,Mexico,F1,1998-01-08,2000-02-22
2020,9,Mexico,F2A,2020-09-01,2020-08-01
2020,9,Mexico,F2B,1999-04-08,1999-12-01
2020,9,Mexico,F3,1996-08-01,2000-08-15
2020,9,Mexico,F4,1998-06-22,1999-04-22
2020,9,Mexico,EB1,2020-09-01,2020-09-01
2020,9,Mexico,EB2,2020-09-01,2020-09-01
2020,9,Mexico,EB3,2019-04-01,2020-04-01
2020,9,Mexico,EB-Other,2019-04-01,2020-04-01
2020,9,Mexico,EB4,2018-06-15,2020-09-01
2020,9,Mexico,EB-Religious,2018-06-15,2020-09-01
2020,9,Mexico,EB5-Non-Regional-Center,2020-09-01,2020-09-01
2020,9,Mexico,EB5-Regional-Center,2020-09-01,2020-09-01
2020,9,Philippines,F1,2011-12-15,2012-10-08
2020,9,Philippines,F2A,2020-09-01,2020-08-01
2020,9,Philippines,F2B,2011-08-01,2012-04-01
2020,9,Philippines,F3,2002-02-15,2002-12-22
2020,9,Philippines,F4,2002-01-01,2002-09-01
2020,9,Philippines,EB1,2020-09-01,2020-09-01
2020,9,Philippines,EB2,2020-09-01,2020-09-01
2020,9,Philippines,EB3,2019-04-01,2020-04-01
2020,9,Philippines,EB-Other,2019-04-01,2020-04-01
2020,9,Philippines,EB4,2020-09-01,2020-09-01
2020,9,Philippines,EB-Religious,2020-09-01,2020-09-01
2020,9,Philippines,EB5-Non-Regional-Center,2020-09-01,2020-09-01
2020,9,Philippines,EB5-Regional-Center,2020-09-01,2020-09-01
2020,9,El Salvador/Guatemala/Honduras,EB1,2020-09-01,2020-09-01
2020,9,El Salvador/Guatemala/Honduras,EB2,2020-09-01,2020-09-01
2020,9,El Salvador/Guatemala/Honduras,EB3,2019-04-01,2020-04-01
2020,9,El Salvador/Guatemala/Honduras,EB-Other,2019-04-01,2020-04-01
2020,9,El Salvador/Guatemala/Honduras,EB4,2017-04-01,2017-10-01
2020,9,El Salvador/Guatemala/Honduras,EB-Religious,2017-04-01,2017-10-01
2020,9,El Salvador/Guatemala/Honduras,EB5-Non-Regional-Center,2020-09-01,2020-09-01
2020,9,El Salvador/Guatemala/Honduras,EB5-Regional-Center,2020-09-01,2020-09-01
2020,9,Vietnam,EB1,2020-09-01,
2020,9,Vietnam,EB2,2020-09-01,
2020,9,Vietnam,EB3,2019-04-01,
2020,9,Vietnam,EB-Other,2019-04-01,
2020,9,Vietnam,EB4,2020-09-01,
2020,9,Vietnam,EB-Religious,2020-09-01,
2020,9,Vietnam,EB5-Non-Regional-Center,2017-08-01,
2020,9,Vietnam,EB5-Regional-Center,2017-08-01,
