year,month,country,category,final_action_date,filing_date
2020,1,Rest-of-World,F1,2013-07-15,2014-03-15
2020,1,Rest-of-World,F2A,2020-01-01,2019-11-01
2020,1,Rest-of-World,F2B,2014-08-08,2015-04-08
2020,1,Rest-of-World,F3,2007-11-15,2008-07-15
2020,1,Rest-of-World,F4,2007-02-01,2007-07-22
2020,1,Rest-of-World,EB1,2018-10-01,2020-01-01
2020,1,Rest-of-World,EB2,2020-01-01,2020-01-01
2020,1,Rest-of-World,EB3,2020-01-01,2019-01-01
2020,1,Rest-of-World,EB-Other,2020-01-01,2019-01-01
2020,1,Rest-of-World,EB4,2020-01-01,2020-01-01
2020,1,Rest-of-World,EB-Religious,,2020-01-01
2020,1,Rest-of-World,EB5-Non-Regional-Center,2020-01-01,2020-01-01
2020,1,Rest-of-World,EB5-Regional-Center,,2020-01-01
2020,1,China,F1,2013-07-15,2014-03-15
2020,1,China,F2A,2020-01-01,2019-11-01
2020,1,China,F2B,2014-08-08,2015-04-08
2020,1,China,F3,2007-11-15,2008-07-15
2020,1,China,F4,2007-02-01,2007-07-22
2020,1,China,EB1,2017-05-22,2017-10-01
2020,1,China,EB2,2015-07-01,2016-08-01
2020,1,China,EB3,2015-12-01,2017-03-01
2020,1,China,EB-Other,2008-04-01,2008-08-01
2020,1,China,EB4,2020-01-01,2020-01-01
2020,1,China,EB-Religious,,2020-01-01
2020,1,China,EB5-Non-Regional-Center,2014-11-22,2015-05-15
2020,1,China,EB5-Regional-Center,,2015-05-15
2020,1,India,F1,2013-07-15,2014-03-15
2020,1,India,F2A,2020-01-01,2019-11-01
2020,1,India,F2B,2014-08-08,2015-04-08
2020,1,India,F3,2007-11-15,2008-07-15
2020,1,India,F4,2004-11-08,2005-07-08
2020,1,India,EB1,2015-01-01,2017-03-15
2020,1,India,EB2,2009-05-18,2009-07-01
2020,1,India,EB3,2009-01-01,2010-02-01
2020,1,India,EB-Other,2009-01-01,2010-02-01
2020,1,India,EB4,2020-01-01,2020-01-01
2020,1,India,EB-Religious,,2020-01-01
2020,1,India,EB5-Non-Regional-Center,2018-05-01,2020-01-01
2020,1,India,EB5-Regional-Center,,2020-01-01
2020,1,Mexico,F1,1997-08-08,1999-11-15
2020,1,Mexico,F2A,2020-01-01,2019-11-01
2020,1,Mexico,F2B,1998-08-22,1999-04-22
2020,1,Mexico,F3,1996-03-01,2000-07-15
2020,1,Mexico,F4,1998-01-08,1999-01-01
2020,1,Mexico,EB1,2018-10-01,2020-01-01
2020,1,Mexico,EB2,2020-01-01,2020-01-01
2020,1,Mexico,EB3,2020-01-01,2019-01-01
2020,1,Mexico,EB-Other,2020-01-01,2019-01-01
2020,1,Mexico,EB4,2017-08-08,2020-01-01
2020,1,Mexico,EB-Religious,,2020-01-01
2020,1,Mexico,EB5-Non-Regional-Center,2020-01-01,2020-01-01
2020,1,Mexico,EB5-Regional-Center,,2020-01-01
2020,1,Philippines,F1,2009-01-15,2009-09-15
2020,1,Philippines,F2A,2020-01-01,2019-11-01
2020,1,Philippines,F2B,2009-02-01,2009-10-01
2020,1,Philippines,F3,1999-01-01,1999-09-01
2020,1,Philippines,F4,1999-03-01,1999-11-01
2020,1,Philippines,EB1,2018-10-01,2020-01-01
2020,1,Philippines,EB2,2020-01-01,2020-01-01
2020,1,Philippines,EB3,2018-03-15,2019-01-01
2020,1,Philippines,EB-Other,2018-03-15,2019-01-01
2020,1,Philippines,EB4,2020-01-01,2020-01-01
2020,1,Philippines,EB-Religious,,2020-01-01
2020,1,Philippines,EB5-Non-Regional-Center,2020-01-01,2020-01-01
2020,1,Philippines,EB5-Regional-Center,,2020-01-01
2020,1,El Salvador/Guatemala/Honduras,EB1,2018-10-01,2020-01-01
2020,1,El Salvador/Guatemala/Honduras,EB2,2020-01-01,2020-01-01
2020,1,El Salvador/Guatemala/Honduras,EB3,2020-01-01,2019-01-01
2020,1,El Salvador/Guatemala/Honduras,EB-Other,2020-01-01,2019-01-01
2020,1,El Salvador/Guatemala/Honduras,EB4,2016-07-01,2016-08-15
2020,1,El Salvador/Guatemala/Honduras,EB-Religious,,2016-08-15
2020,1,El Salvador/Guatemala/Honduras,EB5-Non-Regional-Center,2020-01-01,2020-01-01
2020,1,El Salvador/Guatemala/Honduras,EB5-Regional-Center,,2020-01-01
2020,1,Vietnam,EB1,2018-10-01,
2020,1,Vietnam,EB2,2020-01-01,
2020,1,Vietnam,EB3,2020-01-01,
2020,1,Vietnam,EB-Other,2020-01-01,
2020,1,Vietnam,EB4,2020-01-01,
2020,1,Vietnam,EB-Religious,,
2020,1,Vietnam,EB5-Non-Regional-Center,2016-12-08,
2020,1,Vietnam,EB5-Regional-Center,,
